age,gender,education,marital-status,native-country,race,hours-per-week,capital-gain,workclass
17,Female,10th,Married-civ-spouse,United-States,White,30,0,Private
17,Female,10th,Never-married,El-Salvador,Other,35,0,Private
17,Female,10th,Never-married,United-States,Amer-Indian-Eskimo,20,1055,Private
17,Female,10th,Never-married,United-States,Black,24,0,Private
17,Female,10th,Never-married,United-States,Black,15,0,Private
17,Female,10th,Never-married,United-States,Black,12,0,Private
17,Female,10th,Never-married,United-States,Black,12,0,Private
17,Female,10th,Never-married,United-States,Other,15,0,Private
17,Female,10th,Never-married,United-States,White,10,0,Private
17,Female,10th,Never-married,United-States,White,12,0,Private
17,Female,10th,Never-married,United-States,White,16,0,Private
17,Female,10th,Never-married,United-States,White,20,0,Private
17,Female,10th,Never-married,United-States,White,18,0,Private
17,Female,10th,Never-married,United-States,White,25,0,Private
17,Female,10th,Never-married,United-States,White,16,0,Private
17,Female,10th,Never-married,United-States,White,12,0,Private
17,Female,10th,Never-married,United-States,White,10,0,Private
17,Female,10th,Never-married,United-States,White,12,0,Private
17,Female,10th,Never-married,United-States,White,8,0,Private
17,Female,10th,Never-married,United-States,White,12,0,Private
17,Female,10th,Never-married,United-States,White,15,0,Private
17,Female,10th,Never-married,United-States,White,12,0,Private
17,Female,10th,Never-married,United-States,White,12,0,Private
17,Female,10th,Never-married,United-States,White,40,0,Local-gov
17,Female,10th,Never-married,United-States,White,25,0,Private
17,Female,10th,Never-married,United-States,White,16,0,Private
17,Female,10th,Never-married,United-States,White,10,0,Private
17,Female,10th,Never-married,United-States,White,40,0,Private
17,Female,10th,Never-married,United-States,White,20,0,Private
17,Female,10th,Never-married,United-States,White,14,0,Private
17,Female,10th,Never-married,United-States,White,20,0,Private
17,Female,10th,Never-married,United-States,White,23,0,Private
17,Female,10th,Never-married,United-States,White,10,0,Local-gov
17,Female,10th,Never-married,United-States,White,15,0,Private
17,Female,10th,Never-married,United-States,White,10,0,Private
17,Female,10th,Never-married,United-States,White,20,0,Private
17,Female,10th,Never-married,United-States,White,6,0,Private
17,Female,10th,Never-married,United-States,White,22,0,Private
17,Female,10th,Never-married,United-States,White,24,0,Private
17,Female,10th,Never-married,United-States,White,10,0,Private
17,Female,10th,Never-married,United-States,White,10,0,Private
17,Female,10th,Never-married,United-States,White,15,0,Private
17,Female,10th,Never-married,United-States,White,18,0,Private
17,Female,10th,Never-married,United-States,White,10,0,Private
17,Female,10th,Never-married,United-States,White,30,0,Private
17,Female,10th,Never-married,United-States,White,14,0,Private
17,Female,10th,Never-married,United-States,White,24,0,Private
17,Female,10th,Never-married,United-States,White,10,0,Private
17,Female,10th,Never-married,United-States,White,10,0,Private
17,Female,10th,Never-married,United-States,White,25,0,Private
17,Female,10th,Never-married,United-States,White,25,0,Local-gov
17,Female,10th,Never-married,United-States,White,30,0,Private
17,Female,10th,Never-married,United-States,White,20,0,Private
17,Female,10th,Never-married,United-States,White,12,594,Private
17,Female,10th,Never-married,United-States,White,15,0,Private
17,Female,10th,Never-married,United-States,White,20,0,Private
17,Female,10th,Never-married,United-States,White,21,0,Private
17,Female,10th,Never-married,United-States,White,24,0,Self-emp-not-inc
17,Female,10th,Never-married,United-States,White,15,0,Private
17,Female,10th,Never-married,United-States,White,15,0,Private
17,Female,10th,Never-married,United-States,White,4,0,Private
17,Female,10th,Never-married,United-States,White,15,0,Private
17,Female,10th,Never-married,United-States,White,12,0,Private
17,Female,10th,Never-married,United-States,White,20,0,Private
